path,label
data/mels/000000.npy,0
data/mels/000001.npy,0
data/mels/000002.npy,1
data/mels/000003.npy,1
data/mels/000004.npy,0
data/mels/000005.npy,0
data/mels/000006.npy,1
data/mels/000007.npy,0
data/mels/000008.npy,0
data/mels/000009.npy,0
data/mels/000010.npy,1
data/mels/000011.npy,1
data/mels/000012.npy,1
data/mels/000013.npy,0
data/mels/000014.npy,0
data/mels/000015.npy,1
data/mels/000016.npy,0
data/mels/000017.npy,1
data/mels/000018.npy,0
data/mels/000019.npy,0
data/mels/000020.npy,0
data/mels/000021.npy,1
data/mels/000022.npy,0
data/mels/000023.npy,0
data/mels/000024.npy,0
data/mels/000025.npy,0
data/mels/000026.npy,0
data/mels/000027.npy,0
data/mels/000028.npy,0
data/mels/000029.npy,0
data/mels/000030.npy,0
data/mels/000031.npy,1
data/mels/000032.npy,0
data/mels/000033.npy,1
data/mels/000034.npy,0
data/mels/000035.npy,0
data/mels/000036.npy,1
data/mels/000037.npy,0
data/mels/000038.npy,0
data/mels/000039.npy,1
data/mels/000040.npy,1
data/mels/000041.npy,0
data/mels/000042.npy,0
data/mels/000043.npy,1
data/mels/000044.npy,1
data/mels/000045.npy,0
data/mels/000046.npy,0
data/mels/000047.npy,0
data/mels/000048.npy,0
data/mels/000049.npy,0
data/mels/000050.npy,0
data/mels/000051.npy,1
data/mels/000052.npy,0
data/mels/000053.npy,0
data/mels/000054.npy,0
data/mels/000055.npy,1
data/mels/000056.npy,0
data/mels/000057.npy,0
data/mels/000058.npy,1
data/mels/000059.npy,0
data/mels/000060.npy,0
data/mels/000061.npy,0
data/mels/000062.npy,1
data/mels/000063.npy,0
data/mels/000064.npy,0
data/mels/000065.npy,1
data/mels/000066.npy,0
data/mels/000067.npy,0
data/mels/000068.npy,0
data/mels/000069.npy,0
data/mels/000070.npy,0
data/mels/000071.npy,0
data/mels/000072.npy,1
data/mels/000073.npy,0
data/mels/000074.npy,1
data/mels/000075.npy,1
data/mels/000076.npy,0
data/mels/000077.npy,1
data/mels/000078.npy,0
data/mels/000079.npy,0
data/mels/000080.npy,0
data/mels/000081.npy,0
data/mels/000082.npy,0
data/mels/000083.npy,1
data/mels/000084.npy,0
data/mels/000085.npy,0
data/mels/000086.npy,1
data/mels/000087.npy,1
data/mels/000088.npy,0
data/mels/000089.npy,0
data/mels/000090.npy,0
data/mels/000091.npy,0
data/mels/000092.npy,0
data/mels/000093.npy,0
data/mels/000094.npy,1
data/mels/000095.npy,1
data/mels/000096.npy,1
data/mels/000097.npy,1
data/mels/000098.npy,1
data/mels/000099.npy,0
data/mels/000100.npy,0
data/mels/000101.npy,0
data/mels/000102.npy,0
data/mels/000103.npy,0
data/mels/000104.npy,0
data/mels/000105.npy,0
data/mels/000106.npy,1
